Year,AOD_median
2001.0,95.86978195480903
2002.0,87.36831378519499
2003.0,92.25623511394683
2004.0,89.18573729265715
2005.0,95.48229544320043
2006.0,99.38720569575487
2007.0,93.79533917938382
2008.0,99.49323142990468
2009.0,94.69349552500246
2010.0,88.55068781027026
2011.0,91.75596255098266
2012.0,92.18940612279474
2013.0,87.69540876196898
2014.0,91.87941851436608
2015.0,95.34855271505099
2016.0,91.62696132805755
2017.0,89.78858946631524
2018.0,89.09920865446053
2019.0,93.17744136171503
2020.0,99.1339974455575
2021.0,94.33397301251335
2022.0,96.18681940484123
2023.0,88.61120721757878
2024.0,93.63654774604976
