Year,Area_DentroPRC,Area_FueraPRC,Precision_Kappa
2018.0,1456.23,161.42,0.9943
2019.0,1619.12,227.15,0.9669
2020.0,1560.03,187.36,0.9552
2021.0,1609.35,209.89,0.9523
2022.0,1613.72,197.21,0.9566
2023.0,1531.01,178.00,0.9725
