Year,mean
2001.0,99.96545690454433
2002.0,91.8505415297232
2003.0,94.78381050783435
2004.0,91.71982901718907
2005.0,110.72393430062925
2006.0,101.48657906958799
2007.0,102.28277463648465
2008.0,107.81695783215405
2009.0,95.24717665904058
2010.0,100.54918032864441
2011.0,105.25194872253161
2012.0,95.63628028852052
2013.0,92.81680595122522
2014.0,100.09745416313321
2015.0,101.63441653143889
2016.0,94.36375408355747
2017.0,95.07467501627612
2018.0,91.1079462646043
2019.0,108.67634058276184
2020.0,112.57750034040333
2021.0,99.7219079085913
2022.0,87.77398415406422
2023.0,90.0812120984268
