Month,SO2_median_fixed
1.0,114.85205874388812
2.0,138.23485693566545
3.0,110.69369742105815
4.0,427.9215234565053
5.0,696.8046772181345
6.0,1341.014310617767
7.0,1002.0815285337014
8.0,740.668692722451
9.0,412.1246590094254
10.0,172.07216668382932
11.0,166.96977873976968
12.0,141.69206768424763
