Year,Month,LST_mean
2019,2,34.351186
2019,3,31.316536
2019,4,22.299734
2019,5,15.303258
2019,6,13.837300
2019,7,12.829667
2019,8,16.353413
2019,9,24.257383
2019,10,31.309731
2019,11,38.170294
2019,12,35.448473
2020,1,38.567216
2020,2,35.967772
2020,3,32.063573
2020,4,25.170386
2020,5,22.766030
2020,6,13.995409
2020,7,12.816396
2020,8,15.130504
2020,9,21.661829
2020,10,29.034310
2020,11,34.310480
2020,12,37.221809
2021,1,35.177956
2021,2,33.707794
2021,3,30.003300
2021,4,24.446930
2021,5,16.669065
2021,6,14.310086
2021,7,10.504330
2021,8,11.522561
2021,9,22.443413
2021,10,29.377366
2021,11,35.331355
2021,12,37.075012
2022,1,36.967929
2022,2,34.988054
2022,3,29.951094
2022,4,24.173937
2022,5,13.349764
2022,6,11.670073
2022,7,12.354387
2022,8,15.997684
2022,9,20.440015
2022,10,30.734419
2022,11,33.535476
2022,12,36.974116
2023,1,35.798115
2023,2,33.701592
2023,3,30.988150
2023,4,20.173088
2023,5,18.507618
2023,6,12.796896
2023,7,13.702634
2023,8,19.586657
2023,9,19.453782
2023,10,27.399875
2023,11,-9999.000000
2023,12,35.100814
2024,1,31.850273
2024,2,34.726743
2024,3,32.631585
2024,4,26.687018
2024,5,15.519180
2024,6,12.905077
2024,7,11.228699
2024,8,14.997106
2024,9,22.152450
2024,10,29.606537
2024,11,35.652302
2024,12,36.155925
2025,1,36.525584
2025,2,32.847552
2025,3,30.862717
2025,4,23.321983
2025,5,16.167470
2025,6,12.709814
2025,7,13.933072
2025,8,17.954089
2025,9,22.561404
2025,10,29.931400
2025,11,34.892042
2025,12,37.029258
2026,1,35.134917
2026,2,36.993665
2026,3,30.436704
2026,4,25.286011
