NOMBRE,Month,NO2_median,NO2_p25,NO2_p75,anio_actual
Bernando Ohiggins,8.0,16.641717,15.461802,19.282913,-9999.000000
Cruz del Sur,8.0,16.641717,15.461802,19.473408,-9999.000000
82,8.0,16.392214,14.779825,18.995910,-9999.000000
Belloto Norte,8.0,16.693035,16.187094,18.930333,-9999.000000
E.E.U.U,8.0,16.878147,16.187094,18.930333,-9999.000000
Lincoyan,8.0,16.655460,15.445354,19.473408,-9999.000000
Los Colonos,8.0,16.146767,14.779825,18.872824,-9999.000000
Patricio Lynch,8.0,16.442111,15.343911,18.896569,-9999.000000
Santa Marta,8.0,17.140569,16.032394,18.896569,-9999.000000
Cantera,8.0,16.264716,15.084196,19.019576,-9999.000000
Decimo Sector,8.0,16.131917,15.613682,18.871024,-9999.000000
Estero Viejo,8.0,16.641717,15.461802,19.282913,-9999.000000
Matilde,8.0,16.264716,14.914268,19.019576,-9999.000000
San Cristobal,8.0,16.131917,15.613682,18.871024,-9999.000000
Tierras Rojas,8.0,16.810371,15.106873,19.247377,-9999.000000
Decimo Sector,8.0,16.131917,15.613682,18.871024,-9999.000000
Matilde,8.0,16.264716,14.914268,19.019576,-9999.000000
Los Pinos,8.0,16.531214,14.196370,18.478743,-9999.000000
Marga Marga,8.0,16.404483,14.724001,17.701788,-9999.000000
60,8.0,16.064383,15.015601,18.871024,-9999.000000
Castillo Blanco,8.0,16.810371,15.106873,19.247377,-9999.000000
El Tranque,8.0,16.758049,14.496451,19.019576,-9999.000000
Jose Miguel Carrera,8.0,16.392214,14.679619,18.995910,-9999.000000
Las Rosas,8.0,16.758049,14.496451,19.019576,-9999.000000
Piloto Pardo,8.0,16.758049,14.914268,19.019576,-9999.000000
Porvenir,8.0,16.132739,14.724001,17.955764,-9999.000000
Textil Viña,8.0,16.393838,14.914268,19.019576,-9999.000000
21 de Mayo,8.0,16.272786,14.103781,17.411199,-9999.000000
Barros Arana,8.0,16.530709,14.496451,18.495230,-9999.000000
La Granja,8.0,16.530709,14.138431,17.416795,-9999.000000
Las Viñas,8.0,16.530709,14.138431,17.416795,-9999.000000
Los Estanques,8.0,16.530709,14.138431,17.416795,-9999.000000
Mena,8.0,16.257850,14.124558,18.335150,-9999.000000
Pedro Montt,8.0,16.530709,14.496451,17.416795,-9999.000000
Victoria Oriente,8.0,16.257850,14.124558,18.335150,-9999.000000
Victoria Poniente,8.0,16.257850,14.124558,18.335150,-9999.000000
Villa Olimpica,8.0,16.530709,14.138431,17.416795,-9999.000000
Araya,8.0,16.758049,14.488537,19.019576,-9999.000000
Arturo Prat,8.0,16.530709,14.496451,18.495230,-9999.000000
Blanco,8.0,16.499775,14.496451,18.921864,-9999.000000
Centro,8.0,16.530709,14.496451,18.495230,-9999.000000
Colina de Oro,8.0,16.531214,14.137634,18.478743,-9999.000000
El Esfuerzo,8.0,16.758049,14.496451,19.019576,-9999.000000
Emparte,8.0,16.530709,14.496451,18.495230,-9999.000000
Esmeralda,8.0,16.629121,14.496451,18.970720,-9999.000000
Liceo,8.0,16.515242,14.496451,18.921864,-9999.000000
Poblacion Esperanza,8.0,16.758466,14.424815,19.019576,-9999.000000
Poblacion Ferroviaria,8.0,16.392214,14.679619,18.995910,-9999.000000
R. Sotomayor,8.0,16.758466,14.424815,19.019576,-9999.000000
San Cristobal2,8.0,16.722934,14.137634,19.009734,-9999.000000
Sol del Pacifico,8.0,16.393838,14.914268,19.019576,-9999.000000
Soublete (Francisco Bilbao),8.0,16.499775,14.496451,18.921864,-9999.000000
Thompson,8.0,16.499775,14.496451,18.921864,-9999.000000
M. Mena,8.0,16.304587,14.226948,17.331758,-9999.000000
Manuel Rodriguez,8.0,16.304587,14.226948,17.331758,-9999.000000
No Organizada,8.0,16.254224,14.135604,17.298140,-9999.000000
Pompeya Norte,8.0,16.304587,14.226948,17.331758,-9999.000000
Pompeya Sur,8.0,16.304587,14.226948,17.331758,-9999.000000
Valencia Alto,8.0,16.254224,14.282361,17.309511,-9999.000000
Costa Sol,8.0,16.254224,14.226948,17.298140,-9999.000000
California,8.0,16.349852,14.779825,18.872824,-9999.000000
Camilo Henriquez,8.0,16.340443,14.707999,18.644393,-9999.000000
El Bosque,8.0,16.340443,14.762129,18.430490,-9999.000000
El Sol,8.0,16.340443,14.707999,18.644393,-9999.000000
General Baquedano,8.0,16.499775,14.496451,18.921864,-9999.000000
Infante,8.0,16.530709,14.496451,18.495230,-9999.000000
Lo Gamboa,8.0,16.392214,14.679619,18.995910,-9999.000000
Los Espinos,8.0,16.340443,14.707999,18.644393,-9999.000000
Retiro,8.0,15.884920,14.762129,18.430490,-9999.000000
Viñas del Sol,8.0,16.349852,14.779825,18.872824,-9999.000000
Buenos Aires,8.0,16.272786,14.103781,17.411199,-9999.000000
Casa de Valencia,8.0,16.252312,14.309140,17.401743,-9999.000000
Hevia,8.0,16.254224,14.282361,17.309511,-9999.000000
Humbolt,8.0,16.272786,14.103781,17.411199,-9999.000000
Phillips,8.0,16.272786,14.226948,17.331758,-9999.000000
Poblacion Argentina,8.0,16.254224,14.309140,17.164633,-9999.000000
Poblacion Canal Chacao,8.0,16.254224,14.309140,16.992455,-9999.000000
San Gregorio,8.0,16.254224,14.309140,17.164633,-9999.000000
Valencia Bajo,8.0,16.254224,14.282361,17.309511,-9999.000000
Villa Paso Hondo,8.0,16.252312,14.309140,17.401743,-9999.000000
Calicheros,9.0,13.219883,12.223240,14.329541,-9999.000000
Belloto 2000,9.0,14.506212,13.343579,15.300649,-9999.000000
Belloto Centro,9.0,14.506212,13.343579,15.300649,-9999.000000
Bernando Ohiggins,9.0,14.385841,13.473994,15.300649,-9999.000000
Cruz del Sur,9.0,14.385885,13.473994,15.300649,-9999.000000
82,9.0,14.125871,13.213839,15.320509,-9999.000000
Belloto Norte,9.0,14.392331,12.827665,15.663053,-9999.000000
E.E.U.U,9.0,14.544819,13.457616,15.493177,-9999.000000
Lincoyan,9.0,14.510382,13.343579,15.267339,-9999.000000
Los Colonos,9.0,14.235269,12.727574,14.991360,-9999.000000
Patricio Lynch,9.0,14.544819,12.816236,15.544281,-9999.000000
Santa Marta,9.0,14.544819,13.491520,14.956911,-9999.000000
Cantera,9.0,14.112949,13.343579,15.027797,-9999.000000
Decimo Sector,9.0,14.112949,13.343579,15.027797,-9999.000000
Estero Viejo,9.0,14.385841,13.473994,15.300649,-9999.000000
Matilde,9.0,14.059539,13.338596,14.798040,-9999.000000
San Cristobal,9.0,14.120670,13.343579,15.027797,-9999.000000
Tierras Rojas,9.0,14.191849,13.473994,15.300649,-9999.000000
Decimo Sector,9.0,14.112949,13.343579,15.027797,-9999.000000
Matilde,9.0,14.059539,13.338596,14.798040,-9999.000000
Los Pinos,9.0,13.815798,12.223240,14.435435,-9999.000000
Marga Marga,9.0,13.845153,12.223240,14.247100,-9999.000000
60,9.0,14.112949,13.343579,14.798040,-9999.000000
Castillo Blanco,9.0,14.191849,13.473994,15.300649,-9999.000000
El Tranque,9.0,14.125871,13.343579,15.266540,-9999.000000
Jose Miguel Carrera,9.0,14.125871,13.213839,15.320509,-9999.000000
Las Rosas,9.0,14.125871,13.343579,15.266540,-9999.000000
Piloto Pardo,9.0,14.126032,13.343579,15.266540,-9999.000000
Porvenir,9.0,14.042184,12.677473,14.214431,-9999.000000
Textil Viña,9.0,14.126192,13.179578,14.798040,-9999.000000
21 de Mayo,9.0,13.921541,12.524460,14.546883,-9999.000000
Barros Arana,9.0,14.411254,12.590504,14.642071,-9999.000000
La Granja,9.0,13.920315,12.645571,14.696975,-9999.000000
Las Viñas,9.0,13.920315,12.645571,14.696975,-9999.000000
Los Estanques,9.0,13.920315,12.645571,14.696975,-9999.000000
Mena,9.0,14.112890,13.028973,14.815095,-9999.000000
Pedro Montt,9.0,13.921541,12.590504,14.642071,-9999.000000
Victoria Oriente,9.0,14.112890,13.028973,14.815095,-9999.000000
Victoria Poniente,9.0,14.112890,13.028973,14.815095,-9999.000000
Villa Olimpica,9.0,13.920315,12.645571,14.696975,-9999.000000
Araya,9.0,14.125871,13.343579,15.266540,-9999.000000
Arturo Prat,9.0,14.411254,12.590504,14.642071,-9999.000000
Blanco,9.0,14.546883,12.777699,15.007658,-9999.000000
Centro,9.0,14.411254,12.590504,14.642071,-9999.000000
Colina de Oro,9.0,13.315905,13.009265,14.798040,-9999.000000
El Esfuerzo,9.0,14.125871,13.343579,15.266540,-9999.000000
Emparte,9.0,14.411254,12.590504,14.642071,-9999.000000
Esmeralda,9.0,14.315780,13.060639,15.266540,-9999.000000
Liceo,9.0,14.509756,12.777699,15.007658,-9999.000000
Poblacion Esperanza,9.0,14.125871,13.343579,15.266539,-9999.000000
Poblacion Ferroviaria,9.0,14.125871,13.213839,15.320509,-9999.000000
R. Sotomayor,9.0,14.125871,13.343579,15.266539,-9999.000000
San Cristobal2,9.0,13.815798,13.343579,14.798040,-9999.000000
Sol del Pacifico,9.0,14.126192,13.179578,14.798040,-9999.000000
Soublete (Francisco Bilbao),9.0,14.546883,12.777699,15.007658,-9999.000000
Thompson,9.0,14.546883,12.777699,15.007658,-9999.000000
M. Mena,9.0,13.488818,12.137330,14.037083,-9999.000000
Manuel Rodriguez,9.0,13.488818,12.137330,14.037083,-9999.000000
No Organizada,9.0,12.984393,12.137330,13.488688,-9999.000000
Pompeya Norte,9.0,13.488818,12.137330,14.037083,-9999.000000
Pompeya Sur,9.0,13.488818,12.137330,14.037083,-9999.000000
Valencia Alto,9.0,13.487530,12.264931,14.546883,-9999.000000
Costa Sol,9.0,13.329176,12.160497,14.037083,-9999.000000
California,9.0,14.453677,12.721558,14.991360,-9999.000000
Camilo Henriquez,9.0,14.239470,12.671782,14.718084,-9999.000000
El Bosque,9.0,14.178974,12.577117,14.546883,-9999.000000
El Sol,9.0,14.239470,12.671782,14.718084,-9999.000000
General Baquedano,9.0,14.546883,12.777699,15.007658,-9999.000000
Infante,9.0,14.411254,12.590504,14.642071,-9999.000000
Lo Gamboa,9.0,14.125871,13.213839,15.320509,-9999.000000
Los Espinos,9.0,14.239470,12.671782,14.718084,-9999.000000
Retiro,9.0,13.826306,12.538210,14.546883,-9999.000000
Viñas del Sol,9.0,14.453677,12.721558,14.991360,-9999.000000
Buenos Aires,9.0,13.921541,12.524460,14.546883,-9999.000000
Casa de Valencia,9.0,13.329176,12.289831,14.344536,-9999.000000
Hevia,9.0,13.487530,12.264931,14.546883,-9999.000000
Humbolt,9.0,13.921541,12.524460,14.546883,-9999.000000
Phillips,9.0,13.488818,12.264931,14.546883,-9999.000000
Poblacion Argentina,9.0,13.329176,12.160497,14.546883,-9999.000000
Poblacion Canal Chacao,9.0,13.297699,12.078503,14.162910,-9999.000000
San Gregorio,9.0,13.329176,12.160497,14.546883,-9999.000000
Valencia Bajo,9.0,13.487530,12.264931,14.546883,-9999.000000
Villa Paso Hondo,9.0,13.245223,12.289831,14.224476,-9999.000000
Calicheros,10.0,12.116403,11.941809,12.533009,-9999.000000
Belloto 2000,10.0,12.810820,12.571564,13.611262,-9999.000000
Belloto Centro,10.0,12.810820,12.603924,13.719805,-9999.000000
Bernando Ohiggins,10.0,12.772140,12.527076,12.968116,-9999.000000
Cruz del Sur,10.0,12.772140,12.527076,12.973772,-9999.000000
82,10.0,12.763407,12.573934,13.469350,-9999.000000
Belloto Norte,10.0,12.888785,12.789351,13.451859,-9999.000000
E.E.U.U,10.0,12.823578,12.773432,13.451859,-9999.000000
Lincoyan,10.0,12.763407,12.571564,13.469350,-9999.000000
Los Colonos,10.0,12.763407,12.665602,13.561362,-9999.000000
Patricio Lynch,10.0,12.888785,12.710806,13.561362,-9999.000000
Santa Marta,10.0,12.823578,12.619688,13.572128,-9999.000000
Cantera,10.0,12.540836,12.506337,12.772140,-9999.000000
Decimo Sector,10.0,12.541632,12.463100,12.758294,-9999.000000
Estero Viejo,10.0,12.772140,12.527076,12.968116,-9999.000000
Matilde,10.0,12.540836,12.200068,12.772140,-9999.000000
San Cristobal,10.0,12.541632,12.463100,12.758294,-9999.000000
Tierras Rojas,10.0,12.540836,12.526934,13.232128,-9999.000000
Decimo Sector,10.0,12.541632,12.463100,12.758294,-9999.000000
Matilde,10.0,12.540836,12.200068,12.772140,-9999.000000
Los Pinos,10.0,12.171217,11.835291,12.421676,-9999.000000
Marga Marga,10.0,11.941783,11.835291,12.179019,-9999.000000
60,10.0,12.541632,12.463100,12.727330,-9999.000000
Castillo Blanco,10.0,12.540836,12.526934,13.232128,-9999.000000
El Tranque,10.0,12.730703,12.365277,13.051649,-9999.000000
Jose Miguel Carrera,10.0,12.763407,12.571676,13.074401,-9999.000000
Las Rosas,10.0,12.730703,12.365277,13.051649,-9999.000000
Piloto Pardo,10.0,12.540836,12.365277,13.051649,-9999.000000
Porvenir,10.0,11.955942,11.880034,12.444862,-9999.000000
Textil Viña,10.0,12.373276,11.931150,12.772140,-9999.000000
21 de Mayo,10.0,12.726514,12.571564,13.123454,-9999.000000
Barros Arana,10.0,12.627861,12.573934,13.352956,-9999.000000
La Granja,10.0,12.795157,12.305149,13.093441,-9999.000000
Las Viñas,10.0,12.795157,12.305149,13.093441,-9999.000000
Los Estanques,10.0,12.795157,12.305149,13.093441,-9999.000000
Mena,10.0,12.627861,12.202444,13.306245,-9999.000000
Pedro Montt,10.0,12.726514,12.571564,13.215074,-9999.000000
Victoria Oriente,10.0,12.627861,12.202444,13.306245,-9999.000000
Victoria Poniente,10.0,12.627861,12.202444,13.306245,-9999.000000
Villa Olimpica,10.0,12.795157,12.305149,13.093441,-9999.000000
Araya,10.0,12.763275,12.365277,13.051649,-9999.000000
Arturo Prat,10.0,12.627861,12.573934,13.352956,-9999.000000
Blanco,10.0,12.944210,12.573913,13.037599,-9999.000000
Centro,10.0,12.627861,12.573934,13.352956,-9999.000000
Colina de Oro,10.0,12.314249,11.964381,12.533009,-9999.000000
El Esfuerzo,10.0,12.730703,12.365277,13.051649,-9999.000000
Emparte,10.0,12.627861,12.573934,13.352956,-9999.000000
Esmeralda,10.0,12.848378,12.454459,13.196673,-9999.000000
Liceo,10.0,12.848378,12.573913,13.171922,-9999.000000
Poblacion Esperanza,10.0,12.751546,12.365277,13.355747,-9999.000000
Poblacion Ferroviaria,10.0,12.763407,12.571676,13.074401,-9999.000000
R. Sotomayor,10.0,12.751546,12.365277,13.355747,-9999.000000
San Cristobal2,10.0,12.345910,12.004067,12.772140,-9999.000000
Sol del Pacifico,10.0,12.373276,11.931150,12.772140,-9999.000000
Soublete (Francisco Bilbao),10.0,12.944210,12.573913,13.037599,-9999.000000
Thompson,10.0,12.944210,12.573913,13.037599,-9999.000000
M. Mena,10.0,12.664305,12.060443,13.031898,-9999.000000
Manuel Rodriguez,10.0,12.664305,12.060443,13.031898,-9999.000000
No Organizada,10.0,12.610891,11.949485,12.741852,-9999.000000
Pompeya Norte,10.0,12.664305,12.060443,13.031898,-9999.000000
Pompeya Sur,10.0,12.664305,12.060443,13.031898,-9999.000000
Valencia Alto,10.0,12.541699,12.357517,12.873264,-9999.000000
Costa Sol,10.0,12.832120,12.036331,12.881608,-9999.000000
California,10.0,12.749572,12.665602,13.487630,-9999.000000
Camilo Henriquez,10.0,12.763407,12.618639,13.131000,-9999.000000
El Bosque,10.0,12.763407,12.582237,13.131000,-9999.000000
El Sol,10.0,12.763407,12.618639,13.131000,-9999.000000
General Baquedano,10.0,12.944210,12.573913,13.037599,-9999.000000
Infante,10.0,12.627861,12.573934,13.352956,-9999.000000
Lo Gamboa,10.0,12.763407,12.571676,13.074401,-9999.000000
Los Espinos,10.0,12.763407,12.618639,13.131000,-9999.000000
Retiro,10.0,12.763407,12.531379,13.255418,-9999.000000
Viñas del Sol,10.0,12.749572,12.665602,13.487630,-9999.000000
Buenos Aires,10.0,12.726514,12.571564,13.123454,-9999.000000
Casa de Valencia,10.0,12.361663,12.160677,12.872597,-9999.000000
Hevia,10.0,12.541699,12.357517,12.873264,-9999.000000
Humbolt,10.0,12.726514,12.571564,13.123454,-9999.000000
Phillips,10.0,12.726514,12.357517,12.898008,-9999.000000
Poblacion Argentina,10.0,12.304749,12.091891,12.861790,-9999.000000
Poblacion Canal Chacao,10.0,12.304749,11.900616,12.686694,-9999.000000
San Gregorio,10.0,12.304749,12.091891,12.861790,-9999.000000
Valencia Bajo,10.0,12.541699,12.357517,12.873264,-9999.000000
Villa Paso Hondo,10.0,12.361663,12.160677,12.872597,-9999.000000
Calicheros,11.0,11.495665,11.077904,11.581253,-9999.000000
Belloto 2000,11.0,12.125255,11.642282,12.298554,-9999.000000
Belloto Centro,11.0,12.125255,11.642282,12.472121,-9999.000000
Bernando Ohiggins,11.0,11.723386,11.590894,11.859084,-9999.000000
Cruz del Sur,11.0,11.781568,11.663888,11.859084,-9999.000000
82,11.0,12.221875,11.796450,12.348445,-9999.000000
Belloto Norte,11.0,12.125255,11.848146,12.422485,-9999.000000
E.E.U.U,11.0,12.125255,11.787978,12.422485,-9999.000000
Lincoyan,11.0,11.874701,11.803566,12.169628,-9999.000000
Los Colonos,11.0,12.250605,11.836105,12.482231,-9999.000000
Patricio Lynch,11.0,12.125255,11.836105,12.616898,-9999.000000
Santa Marta,11.0,12.093675,11.649214,12.616898,-9999.000000
Cantera,11.0,11.582595,11.549101,11.718758,-9999.000000
Decimo Sector,11.0,11.561792,11.410026,11.859258,-9999.000000
Estero Viejo,11.0,11.723386,11.590894,11.859084,-9999.000000
Matilde,11.0,11.508920,11.421902,11.582595,-9999.000000
San Cristobal,11.0,11.561792,11.410026,11.859084,-9999.000000
Tierras Rojas,11.0,11.718758,11.590894,11.827710,-9999.000000
Decimo Sector,11.0,11.561792,11.410026,11.859258,-9999.000000
Matilde,11.0,11.508920,11.421902,11.582595,-9999.000000
Los Pinos,11.0,11.347338,11.291139,11.495665,-9999.000000
Marga Marga,11.0,11.310546,11.291139,11.495665,-9999.000000
60,11.0,11.549101,11.410026,11.682915,-9999.000000
Castillo Blanco,11.0,11.718758,11.590894,11.827710,-9999.000000
El Tranque,11.0,11.785939,11.572852,11.853562,-9999.000000
Jose Miguel Carrera,11.0,12.221875,11.796450,12.348445,-9999.000000
Las Rosas,11.0,11.785939,11.572852,11.853562,-9999.000000
Piloto Pardo,11.0,11.718758,11.572852,11.827710,-9999.000000
Porvenir,11.0,11.416570,11.269882,11.500098,-9999.000000
Textil Viña,11.0,11.500098,11.451839,11.561792,-9999.000000
21 de Mayo,11.0,11.736687,11.609434,11.952705,-9999.000000
Barros Arana,11.0,11.846438,11.776204,11.979581,-9999.000000
La Granja,11.0,11.663888,11.535895,11.778884,-9999.000000
Las Viñas,11.0,11.663888,11.535895,11.778884,-9999.000000
Los Estanques,11.0,11.663888,11.535895,11.778884,-9999.000000
Mena,11.0,11.582595,11.545348,11.708855,-9999.000000
Pedro Montt,11.0,11.736687,11.609434,11.962294,-9999.000000
Victoria Oriente,11.0,11.582595,11.545348,11.708855,-9999.000000
Victoria Poniente,11.0,11.582595,11.545348,11.708855,-9999.000000
Villa Olimpica,11.0,11.663888,11.535895,11.778884,-9999.000000
Araya,11.0,11.785939,11.625604,11.853562,-9999.000000
Arturo Prat,11.0,11.846438,11.776204,11.979581,-9999.000000
Blanco,11.0,11.889223,11.736687,12.210532,-9999.000000
Centro,11.0,11.846438,11.776204,11.979581,-9999.000000
Colina de Oro,11.0,11.488312,11.310478,11.505453,-9999.000000
El Esfuerzo,11.0,11.785939,11.572852,11.853562,-9999.000000
Emparte,11.0,11.846438,11.776204,11.979581,-9999.000000
Esmeralda,11.0,11.824254,11.681146,11.908843,-9999.000000
Liceo,11.0,11.889223,11.736687,12.095057,-9999.000000
Poblacion Esperanza,11.0,11.626321,11.607154,11.807963,-9999.000000
Poblacion Ferroviaria,11.0,12.221875,11.796450,12.348445,-9999.000000
R. Sotomayor,11.0,11.626321,11.607154,11.807963,-9999.000000
San Cristobal2,11.0,11.488312,11.316951,11.506472,-9999.000000
Sol del Pacifico,11.0,11.500098,11.451839,11.561792,-9999.000000
Soublete (Francisco Bilbao),11.0,11.889223,11.736687,12.210532,-9999.000000
Thompson,11.0,11.889223,11.736687,12.210532,-9999.000000
M. Mena,11.0,11.481614,11.448119,11.612185,-9999.000000
Manuel Rodriguez,11.0,11.481614,11.448119,11.612185,-9999.000000
No Organizada,11.0,11.415795,11.188451,11.612185,-9999.000000
Pompeya Norte,11.0,11.481614,11.448119,11.612185,-9999.000000
Pompeya Sur,11.0,11.481614,11.448119,11.612185,-9999.000000
Valencia Alto,11.0,11.612185,11.448119,11.853779,-9999.000000
Costa Sol,11.0,11.481614,11.316951,11.612185,-9999.000000
California,11.0,12.267638,11.828975,12.482231,-9999.000000
Camilo Henriquez,11.0,11.915349,11.828975,12.344728,-9999.000000
El Bosque,11.0,11.828975,11.753085,12.015353,-9999.000000
El Sol,11.0,11.915349,11.828975,12.344728,-9999.000000
General Baquedano,11.0,11.889223,11.736687,12.210532,-9999.000000
Infante,11.0,11.846438,11.776204,11.979581,-9999.000000
Lo Gamboa,11.0,12.221875,11.796450,12.348445,-9999.000000
Los Espinos,11.0,11.915349,11.828975,12.344728,-9999.000000
Retiro,11.0,11.827153,11.731109,12.015353,-9999.000000
Viñas del Sol,11.0,12.267638,11.828975,12.482231,-9999.000000
Buenos Aires,11.0,11.736687,11.609434,11.952705,-9999.000000
Casa de Valencia,11.0,11.578276,11.421486,11.618961,-9999.000000
Hevia,11.0,11.612185,11.448119,11.853779,-9999.000000
Humbolt,11.0,11.736687,11.609434,11.952705,-9999.000000
Phillips,11.0,11.612185,11.448119,11.829392,-9999.000000
Poblacion Argentina,11.0,11.578276,11.326215,11.618961,-9999.000000
Poblacion Canal Chacao,11.0,11.503611,11.160535,11.609434,-9999.000000
San Gregorio,11.0,11.578276,11.326215,11.618961,-9999.000000
Valencia Bajo,11.0,11.612185,11.448119,11.853779,-9999.000000
Villa Paso Hondo,11.0,11.455104,11.392163,11.609434,-9999.000000
Calicheros,12.0,11.317543,11.115611,11.453593,-9999.000000
Belloto 2000,12.0,11.900954,11.471177,12.016424,-9999.000000
Belloto Centro,12.0,11.900954,11.471177,12.016424,-9999.000000
Bernando Ohiggins,12.0,11.619065,11.421060,11.982039,-9999.000000
Cruz del Sur,12.0,11.707283,11.421060,12.016424,-9999.000000
82,12.0,11.914275,11.471177,11.942614,-9999.000000
Belloto Norte,12.0,11.836350,11.618791,12.065153,-9999.000000
E.E.U.U,12.0,11.780517,11.595458,12.065153,-9999.000000
Lincoyan,12.0,11.832173,11.648607,12.032775,-9999.000000
Los Colonos,12.0,11.863965,11.161030,11.904673,-9999.000000
Patricio Lynch,12.0,11.853706,11.542331,12.018043,-9999.000000
Santa Marta,12.0,11.796334,11.542331,11.908560,-9999.000000
Cantera,12.0,11.390617,11.284129,11.643183,-9999.000000
Decimo Sector,12.0,11.329472,11.309651,11.643183,-9999.000000
Estero Viejo,12.0,11.619065,11.421060,11.982039,-9999.000000
Matilde,12.0,11.390617,11.042585,11.490765,-9999.000000
San Cristobal,12.0,11.329472,11.309651,11.643183,-9999.000000
Tierras Rojas,12.0,11.629971,11.284129,11.851450,-9999.000000
Decimo Sector,12.0,11.329472,11.309651,11.643183,-9999.000000
Matilde,12.0,11.390617,11.042585,11.490765,-9999.000000
Los Pinos,12.0,11.204076,11.089071,11.399654,-9999.000000
Marga Marga,12.0,11.204076,10.859976,11.399654,-9999.000000
60,12.0,11.329472,11.042585,11.478282,-9999.000000
Castillo Blanco,12.0,11.629971,11.284129,11.851450,-9999.000000
El Tranque,12.0,11.503100,11.421060,11.862753,-9999.000000
Jose Miguel Carrera,12.0,11.721472,11.471177,11.933146,-9999.000000
Las Rosas,12.0,11.503100,11.421060,11.862753,-9999.000000
Piloto Pardo,12.0,11.520509,11.284129,11.777182,-9999.000000
Porvenir,12.0,11.203830,10.959425,11.390617,-9999.000000
Textil Viña,12.0,11.382040,11.146226,11.557656,-9999.000000
21 de Mayo,12.0,11.616300,11.241081,11.846264,-9999.000000
Barros Arana,12.0,11.627252,11.316992,11.894761,-9999.000000
La Granja,12.0,11.482831,11.155074,11.815353,-9999.000000
Las Viñas,12.0,11.482831,11.155074,11.815353,-9999.000000
Los Estanques,12.0,11.482831,11.155074,11.815353,-9999.000000
Mena,12.0,11.544406,11.187943,11.846134,-9999.000000
Pedro Montt,12.0,11.627252,11.241081,11.846264,-9999.000000
Victoria Oriente,12.0,11.544406,11.187943,11.846134,-9999.000000
Victoria Poniente,12.0,11.544406,11.187943,11.846134,-9999.000000
Villa Olimpica,12.0,11.482831,11.155074,11.815353,-9999.000000
Araya,12.0,11.503100,11.421060,11.894323,-9999.000000
Arturo Prat,12.0,11.627252,11.316992,11.894761,-9999.000000
Blanco,12.0,11.547238,11.421060,11.894323,-9999.000000
Centro,12.0,11.627252,11.316992,11.894761,-9999.000000
Colina de Oro,12.0,11.367767,11.174253,11.557697,-9999.000000
El Esfuerzo,12.0,11.503100,11.421060,11.862753,-9999.000000
Emparte,12.0,11.627252,11.316992,11.894761,-9999.000000
Esmeralda,12.0,11.509208,11.369026,11.904299,-9999.000000
Liceo,12.0,11.521586,11.369026,11.894542,-9999.000000
Poblacion Esperanza,12.0,11.472064,11.316992,11.810334,-9999.000000
Poblacion Ferroviaria,12.0,11.721472,11.471177,11.933146,-9999.000000
R. Sotomayor,12.0,11.472064,11.316992,11.810334,-9999.000000
San Cristobal2,12.0,11.367767,11.174253,11.573420,-9999.000000
Sol del Pacifico,12.0,11.382040,11.146226,11.557656,-9999.000000
Soublete (Francisco Bilbao),12.0,11.547238,11.421060,11.894323,-9999.000000
Thompson,12.0,11.547238,11.421060,11.894323,-9999.000000
M. Mena,12.0,11.444943,11.155074,11.495180,-9999.000000
Manuel Rodriguez,12.0,11.444943,11.155074,11.495180,-9999.000000
No Organizada,12.0,11.412347,11.116447,11.553915,-9999.000000
Pompeya Norte,12.0,11.444943,11.155074,11.495180,-9999.000000
Pompeya Sur,12.0,11.444943,11.155074,11.495180,-9999.000000
Valencia Alto,12.0,11.492581,11.316992,11.613006,-9999.000000
Costa Sol,12.0,11.444943,11.155074,11.556123,-9999.000000
California,12.0,11.875247,11.204862,11.932100,-9999.000000
Camilo Henriquez,12.0,11.825295,11.347260,11.934801,-9999.000000
El Bosque,12.0,11.825295,11.347260,11.910608,-9999.000000
El Sol,12.0,11.825295,11.347260,11.934801,-9999.000000
General Baquedano,12.0,11.547238,11.421060,11.894323,-9999.000000
Infante,12.0,11.627252,11.316992,11.894761,-9999.000000
Lo Gamboa,12.0,11.721472,11.471177,11.933146,-9999.000000
Los Espinos,12.0,11.825295,11.347260,11.934801,-9999.000000
Retiro,12.0,11.773579,11.366851,11.910608,-9999.000000
Viñas del Sol,12.0,11.875247,11.204862,11.932100,-9999.000000
Buenos Aires,12.0,11.616300,11.241081,11.846264,-9999.000000
Casa de Valencia,12.0,11.400597,11.224921,11.669068,-9999.000000
Hevia,12.0,11.492581,11.316992,11.613006,-9999.000000
Humbolt,12.0,11.616300,11.241081,11.846264,-9999.000000
Phillips,12.0,11.521586,11.241081,11.613006,-9999.000000
Poblacion Argentina,12.0,11.472064,11.207723,11.567122,-9999.000000
Poblacion Canal Chacao,12.0,11.406338,11.126219,11.522282,-9999.000000
San Gregorio,12.0,11.472064,11.207723,11.567122,-9999.000000
Valencia Bajo,12.0,11.492581,11.316992,11.613006,-9999.000000
Villa Paso Hondo,12.0,11.400597,11.224921,11.551835,-9999.000000
