NOMBRE,Month,NDVI,NDVI_p25,NDVI_p75,anio_actual
Tierras Rojas,2.0,0.1342,0.1257,0.1367,0.1483
Decimo Sector,2.0,0.1396,0.1306,0.1520,0.1591
Matilde,2.0,0.1402,0.1288,0.1575,0.1851
Los Pinos,2.0,0.2146,0.1910,0.2293,0.2506
Marga Marga,2.0,0.2004,0.1755,0.2106,0.2223
60,2.0,0.1399,0.1311,0.1543,0.1712
Castillo Blanco,2.0,0.1374,0.1225,0.1420,0.1442
El Tranque,2.0,0.1768,0.1537,0.1857,0.1857
Jose Miguel Carrera,2.0,0.1369,0.1195,0.1405,0.1523
Las Rosas,2.0,0.1400,0.1246,0.1429,0.1429
Piloto Pardo,2.0,0.1614,0.1439,0.1652,0.1652
Porvenir,2.0,0.2548,0.2131,0.2670,0.2790
Textil Viña,2.0,0.1179,0.1068,0.1210,0.1213
21 de Mayo,2.0,0.1596,0.1484,0.1759,0.1889
Barros Arana,2.0,0.1864,0.1644,0.1924,0.1979
La Granja,2.0,0.1740,0.1572,0.1807,0.1877
Las Viñas,2.0,0.1875,0.1666,0.1934,0.2019
Los Estanques,2.0,0.1619,0.1429,0.1657,0.1775
Mena,2.0,0.1727,0.1494,0.1766,0.1867
Pedro Montt,2.0,0.1528,0.1400,0.1624,0.1675
Victoria Oriente,2.0,0.1361,0.1174,0.1438,0.1521
Victoria Poniente,2.0,0.1593,0.1440,0.1693,0.1693
Villa Olimpica,2.0,0.1303,0.1184,0.1358,0.1379
Araya,2.0,0.1557,0.1363,0.1613,0.1671
Arturo Prat,2.0,0.1482,0.1341,0.1522,0.1522
Blanco,2.0,0.1679,0.1467,0.1733,0.1786
Centro,2.0,0.1430,0.1285,0.1510,0.1521
Colina de Oro,2.0,0.2492,0.2171,0.2769,0.2838
El Esfuerzo,2.0,0.1567,0.1360,0.1610,0.1655
Emparte,2.0,0.1053,0.0960,0.1174,0.1201
Esmeralda,2.0,0.1641,0.1517,0.1704,0.1794
Liceo,2.0,0.1529,0.1380,0.1615,0.1653
Poblacion Esperanza,2.0,0.1775,0.1576,0.1836,0.1902
Poblacion Ferroviaria,2.0,0.1733,0.1528,0.1790,0.1803
R. Sotomayor,2.0,0.1566,0.1424,0.1644,0.1679
San Cristobal2,2.0,0.1635,0.1507,0.1761,0.1808
Sol del Pacifico,2.0,0.1518,0.1328,0.1549,0.1608
Soublete (Francisco Bilbao),2.0,0.1638,0.1401,0.1702,0.1702
Thompson,2.0,0.1295,0.1188,0.1369,0.1406
M. Mena,2.0,0.1299,0.1185,0.1385,0.1432
Manuel Rodriguez,2.0,0.1282,0.1188,0.1356,0.1389
No Organizada,2.0,0.2241,0.1903,0.2347,0.2548
Pompeya Norte,2.0,0.1485,0.1399,0.1719,0.1628
Pompeya Sur,2.0,0.1651,0.1564,0.1777,0.1735
Valencia Alto,2.0,0.1244,0.1189,0.1384,0.1411
Costa Sol,2.0,0.0920,0.0850,0.0992,0.0970
California,2.0,0.1309,0.1254,0.1378,0.1378
Camilo Henriquez,2.0,0.1613,0.1428,0.1675,0.1695
El Bosque,2.0,0.2973,0.2488,0.3306,0.3471
El Sol,2.0,0.2556,0.2400,0.2704,0.2861
General Baquedano,2.0,0.1732,0.1562,0.1791,0.1836
Infante,2.0,0.2277,0.2100,0.2446,0.2655
Lo Gamboa,2.0,0.1348,0.1231,0.1401,0.1413
Los Espinos,2.0,0.2337,0.2104,0.2383,0.2518
Retiro,2.0,0.2187,0.1966,0.2380,0.2467
Viñas del Sol,2.0,0.2144,0.1927,0.2278,0.2387
Buenos Aires,2.0,0.1653,0.1524,0.1750,0.1862
Casa de Valencia,2.0,0.2092,0.1769,0.2118,0.2245
Hevia,2.0,0.1471,0.1314,0.1587,0.1595
Humbolt,2.0,0.1894,0.1672,0.1970,0.2077
Phillips,2.0,0.1504,0.1394,0.1611,0.1668
Poblacion Argentina,2.0,0.2137,0.2034,0.2365,0.2136
Poblacion Canal Chacao,2.0,0.2462,0.2000,0.2624,0.2494
