NOMBRE,Month,LST_mean,LST_p25,LST_p75,anio_actual
Tierras Rojas,2.0,36.645994,35.290364,37.347473,38.557916
Decimo Sector,2.0,36.393777,35.207698,37.745800,37.745800
Matilde,2.0,36.646485,34.829984,37.494668,37.677462
Los Pinos,2.0,33.241965,32.006040,34.522947,36.222884
Marga Marga,2.0,34.217514,33.043649,35.154995,36.901406
60,2.0,36.288072,35.134459,37.130763,37.537277
Castillo Blanco,2.0,36.192619,34.966772,36.729435,38.511224
El Tranque,2.0,35.371161,34.087983,36.367765,38.192365
Jose Miguel Carrera,2.0,35.967397,34.870753,37.151006,38.646221
Las Rosas,2.0,35.431932,34.649063,36.368108,37.996116
Piloto Pardo,2.0,35.484377,34.269996,36.133383,37.753014
Porvenir,2.0,33.781839,31.917771,34.917821,36.655049
Textil Viña,2.0,36.115289,34.768298,36.722631,38.224712
21 de Mayo,2.0,34.504261,33.845933,35.544797,38.380016
Barros Arana,2.0,34.527242,33.913356,35.834017,38.446236
La Granja,2.0,35.755130,34.553025,36.899725,38.551352
Las Viñas,2.0,34.624166,34.038396,36.165472,37.787400
Los Estanques,2.0,34.542995,33.655982,35.364317,37.690947
Mena,2.0,34.754030,34.101612,35.745317,38.162361
Pedro Montt,2.0,34.685362,33.985909,36.001054,38.159815
Victoria Oriente,2.0,36.495124,35.451931,37.892205,38.382422
Victoria Poniente,2.0,34.999879,34.028087,36.135745,37.516473
Villa Olimpica,2.0,36.357031,35.617889,37.899495,39.478923
Araya,2.0,35.057088,34.016138,36.265832,38.079839
Arturo Prat,2.0,34.681796,33.806995,35.804657,38.050240
Blanco,2.0,34.765456,33.623266,35.902163,38.300076
Centro,2.0,35.282303,33.886324,36.045590,38.410904
Colina de Oro,2.0,32.026043,30.986126,33.033786,35.533509
El Esfuerzo,2.0,35.180671,34.584405,36.159416,37.919044
Emparte,2.0,34.686352,33.650685,35.411410,38.090442
Esmeralda,2.0,34.020083,33.163335,35.405872,36.606218
Liceo,2.0,34.911593,33.949272,36.183050,38.329931
Poblacion Esperanza,2.0,34.401433,33.451517,35.348373,37.812720
Poblacion Ferroviaria,2.0,35.756393,34.652250,36.984326,38.803771
R. Sotomayor,2.0,35.128719,34.081750,36.344949,38.123585
San Cristobal2,2.0,36.189529,35.262256,37.323756,39.471210
Sol del Pacifico,2.0,35.593284,34.640018,36.087960,38.242478
Soublete (Francisco Bilbao),2.0,34.635212,33.511643,35.787766,37.714761
Thompson,2.0,35.329332,34.173044,36.448179,38.337378
M. Mena,2.0,33.881536,32.875730,34.927932,37.683030
Manuel Rodriguez,2.0,34.576688,33.780356,35.644289,37.989115
No Organizada,2.0,32.779717,31.689167,33.933811,35.476246
Pompeya Norte,2.0,32.998130,31.933089,34.376069,36.001516
Pompeya Sur,2.0,33.625222,32.538365,34.929152,36.088136
Valencia Alto,2.0,34.003757,32.909136,34.964530,37.335783
Costa Sol,2.0,34.456851,32.609417,35.739776,35.067542
California,2.0,35.687117,34.538619,36.838342,38.558198
Camilo Henriquez,2.0,34.712278,33.086821,35.854901,37.468854
El Bosque,2.0,33.585116,31.688795,34.265588,36.726295
El Sol,2.0,34.026323,32.879636,35.274862,37.413580
General Baquedano,2.0,34.693309,33.536364,35.855440,38.027978
Infante,2.0,33.745647,32.366068,34.987124,37.421894
Lo Gamboa,2.0,36.791855,35.139525,37.531387,39.559737
Los Espinos,2.0,33.527217,32.342391,34.343806,36.588349
Retiro,2.0,33.718683,32.442043,34.747269,37.321096
Viñas del Sol,2.0,34.202839,32.658316,34.710545,37.332383
Buenos Aires,2.0,34.264107,33.314029,35.343053,38.507551
Casa de Valencia,2.0,33.518041,32.559323,34.611998,37.685335
Hevia,2.0,34.693070,33.262071,35.336835,38.788432
Humbolt,2.0,33.815417,32.682853,34.685195,37.564943
Phillips,2.0,33.889089,33.088697,34.998880,38.282134
Poblacion Argentina,2.0,31.708171,30.488647,32.920930,34.926141
Poblacion Canal Chacao,2.0,33.414029,32.417256,34.794366,38.334231
San Gregorio,2.0,34.856927,33.708380,35.682351,39.004221
Valencia Bajo,2.0,34.376200,33.302023,35.349312,38.443367
Villa Paso Hondo,2.0,32.481898,31.331534,33.785124,35.560517
Calicheros,3.0,30.256754,29.043164,31.245693,31.288998
Belloto 2000,3.0,33.304400,31.735970,34.114001,34.404174
Belloto Centro,3.0,32.759793,30.884866,33.688883,33.687604
Bernando Ohiggins,3.0,32.027120,30.642825,32.932332,32.780127
Cruz del Sur,3.0,32.855636,30.725720,33.338426,33.338426
82,3.0,33.898466,32.216875,34.202065,34.266948
Belloto Norte,3.0,31.307413,29.805821,32.059121,32.024658
E.E.U.U,3.0,32.150676,30.972012,32.915055,32.017628
Lincoyan,3.0,31.985347,30.338701,32.698660,32.698660
Los Colonos,3.0,31.267608,30.089504,31.877745,31.085947
Patricio Lynch,3.0,32.202107,31.001722,33.216027,32.178816
Santa Marta,3.0,32.450171,31.155224,33.130141,32.266236
Cantera,3.0,33.250506,31.792342,33.510456,33.350332
Decimo Sector,3.0,31.913717,30.874833,32.399149,32.062135
Estero Viejo,3.0,32.626325,31.000116,32.945587,32.956896
Matilde,3.0,31.940268,30.696603,33.145948,31.745038
San Cristobal,3.0,32.239802,30.797523,32.666930,31.777465
Tierras Rojas,3.0,32.924377,31.213471,33.179659,32.971276
Decimo Sector,3.0,32.589558,31.474494,33.377783,31.703953
Matilde,3.0,32.240435,31.588148,33.417206,31.703790
Los Pinos,3.0,29.860707,28.734026,30.557973,29.860707
Marga Marga,3.0,30.719058,29.081263,31.204442,30.720477
60,3.0,32.267614,31.040810,33.224521,31.434778
Castillo Blanco,3.0,32.491784,30.773981,32.826421,32.804162
El Tranque,3.0,31.942481,30.386813,32.495094,32.495094
Jose Miguel Carrera,3.0,31.981710,31.096893,33.007323,33.025828
Las Rosas,3.0,31.650445,29.982860,32.351469,32.351469
Piloto Pardo,3.0,31.664733,30.012756,32.295879,31.968427
Porvenir,3.0,30.139310,28.261298,30.764359,29.846130
Textil Viña,3.0,32.429480,30.936194,32.766022,32.584473
21 de Mayo,3.0,30.793968,30.198046,31.973953,31.930949
Barros Arana,3.0,31.401330,29.718431,32.327952,32.710078
La Granja,3.0,32.165673,30.675849,33.254638,32.737287
Las Viñas,3.0,31.062734,30.398094,32.151663,32.151663
Los Estanques,3.0,30.784250,29.859222,31.888942,31.659678
Mena,3.0,31.274484,30.153163,32.338938,32.574826
Pedro Montt,3.0,31.078892,30.237094,32.284751,32.319364
Victoria Oriente,3.0,32.859079,31.818539,33.768907,32.988164
Victoria Poniente,3.0,31.321198,30.220219,32.497440,32.058529
Villa Olimpica,3.0,33.011925,31.743447,33.439906,33.534484
Araya,3.0,31.456173,30.326058,32.234460,32.349033
Arturo Prat,3.0,30.887726,29.786013,32.156306,32.374702
Blanco,3.0,30.831410,29.969107,32.236077,32.301397
Centro,3.0,31.261080,30.244917,32.443112,32.257955
Colina de Oro,3.0,28.960762,27.268554,29.314967,29.169517
El Esfuerzo,3.0,31.588544,29.983493,32.111246,32.111246
Emparte,3.0,31.073674,29.737570,32.154071,32.305373
Esmeralda,3.0,30.127188,29.206891,31.358135,30.670334
Liceo,3.0,31.156213,29.970130,32.223418,32.457621
Poblacion Esperanza,3.0,31.179523,29.088536,31.616384,31.750477
Poblacion Ferroviaria,3.0,32.125623,30.854492,32.816158,33.033310
R. Sotomayor,3.0,31.345020,30.491943,32.428923,32.490127
San Cristobal2,3.0,32.794260,31.289676,33.143270,33.224819
Sol del Pacifico,3.0,31.656490,30.262970,32.380183,32.380183
Soublete (Francisco Bilbao),3.0,30.926392,29.306334,31.971495,32.043425
Thompson,3.0,31.361297,30.319702,32.451914,32.323997
M. Mena,3.0,30.240503,29.558616,31.376057,31.391195
Manuel Rodriguez,3.0,30.936976,30.113868,32.020660,31.664515
No Organizada,3.0,29.112760,27.865958,30.192211,29.112760
Pompeya Norte,3.0,29.004081,28.464279,30.084045,29.555400
Pompeya Sur,3.0,29.997033,29.057202,31.064113,30.141302
Valencia Alto,3.0,30.291501,29.326991,31.206565,30.291501
Costa Sol,3.0,30.615623,28.626079,31.925224,28.626079
California,3.0,32.164272,30.756593,32.935106,32.545010
Camilo Henriquez,3.0,31.076798,29.832499,31.715139,31.583009
El Bosque,3.0,29.712955,28.255010,30.585349,29.663127
El Sol,3.0,30.831784,29.313981,31.506042,31.350151
General Baquedano,3.0,31.046411,29.990464,31.984946,32.086561
Infante,3.0,29.888012,28.888820,31.053021,30.764422
Lo Gamboa,3.0,33.024701,31.426912,33.750157,33.584779
Los Espinos,3.0,29.763297,28.193303,30.762872,30.593459
Retiro,3.0,30.337408,28.847097,31.057962,30.855825
Viñas del Sol,3.0,30.153581,28.395560,30.916438,30.879524
Buenos Aires,3.0,30.693090,29.662858,31.569807,31.252024
Casa de Valencia,3.0,30.100895,28.869801,30.636793,30.100895
Hevia,3.0,30.868882,29.667315,31.869960,30.850865
Humbolt,3.0,30.649648,29.468968,31.228245,31.036743
Phillips,3.0,30.977708,29.677652,31.520034,31.409572
Poblacion Argentina,3.0,28.312675,27.171496,28.967333,27.599422
Poblacion Canal Chacao,3.0,30.030882,28.574373,31.055499,30.827455
San Gregorio,3.0,31.133672,29.949967,31.998119,31.385087
Valencia Bajo,3.0,30.748194,29.795046,31.738985,31.079659
Villa Paso Hondo,3.0,28.211323,27.426201,29.268035,28.211323
Calicheros,4.0,23.814305,22.341502,25.391199,25.477286
Belloto 2000,4.0,26.357047,24.278935,27.430988,28.268429
Belloto Centro,4.0,25.780486,23.893944,26.974943,27.685058
