Year,LST_mean
1995.0,21.011452432404496
1996.0,20.99860643529985
1997.0,25.58971093131754
1998.0,27.058116996399036
1999.0,27.87846372676854
2000.0,27.94157521089843
2001.0,32.0967345574164
2002.0,24.19203398011662
2003.0,24.53415000254134
2004.0,27.160610536845486
2005.0,27.39677962439553
2006.0,28.057970824227056
2007.0,24.2686281552181
2008.0,34.72159752199191
2009.0,32.961663330734176
2010.0,32.57985279894341
2011.0,29.793557013810553
2013.0,24.536639537095304
2014.0,30.481122296058835
2015.0,28.773137245464582
2016.0,26.90217952769775
2017.0,29.550306082417503
2018.0,29.173798620114905
2019.0,28.632086287548844
2020.0,29.57393923554013
2021.0,26.534147888730384
2022.0,28.434172916404414
2023.0,28.778870368972843
2024.0,28.058228483289522
