Year,AOD_median
2001.0,96.98086571793469
2002.0,115.03349449613819
2003.0,115.67088122605364
2004.0,108.1025512376087
2005.0,145.46376877698717
2006.0,128.2908274037584
2007.0,134.11232895457033
2008.0,126.22219333454966
2009.0,107.15625342090861
2010.0,127.72768807395241
2011.0,129.34284345922273
2012.0,113.00495651645079
2013.0,105.71836419753086
2014.0,128.97914386060938
2015.0,124.16138326339477
2016.0,96.11334458432164
2017.0,107.54966551115976
2018.0,103.07794730280364
2019.0,120.20594249832757
2020.0,130.2576734780758
2021.0,114.83580855075112
2022.0,112.57093596059111
2023.0,118.06095050456808
